Date,Open,High,Low,Close,Volume,Adj Close
2013-03-25,2881.32,2886.68,2850.21,2863.90,000,2863.90
2013-03-22,2857.99,2873.71,2854.81,2871.72,000,2871.72
2013-03-21,2849.35,2857.17,2836.17,2845.33,000,2845.33
2013-03-20,2848.89,2865.39,2843.87,2862.36,000,2862.36
2013-03-19,2845.83,2848.91,2808.04,2829.66,000,2829.66
2013-03-18,2823.83,2849.70,2820.79,2839.78,000,2839.78
2013-03-15,2868.23,2870.89,2850.86,2854.53,000,2854.53
2013-03-14,2862.61,2872.14,2858.36,2869.98,000,2869.98
2013-03-13,2860.34,2864.25,2849.34,2862.62,000,2862.62
2013-03-12,2855.55,2863.37,2847.51,2856.74,000,2856.74
2013-03-11,2854.52,2861.98,2850.31,2860.97,000,2860.97
2013-03-08,2849.81,2861.17,2837.17,2858.95,000,2858.95
2013-03-07,2832.40,2839.02,2829.49,2836.37,000,2836.37
2013-03-06,2842.18,2842.72,2825.99,2830.82,000,2830.82
2013-03-05,2820.23,2839.68,2819.77,2835.65,000,2835.65
2013-03-04,2777.93,2806.26,2776.70,2806.07,000,2806.07
2013-03-01,2760.91,2788.76,2750.41,2786.84,000,2786.84
2013-02-28,2773.65,2792.30,2772.61,2775.95,000,2775.95
2013-02-27,2741.63,2785.04,2740.39,2774.38,000,2774.38
2013-02-26,2735.79,2743.05,2716.09,2736.81,000,2736.81
2013-02-25,2786.19,2789.05,2728.07,2728.07,000,2728.07
2013-02-22,2764.30,2771.76,2753.63,2771.72,000,2771.72
2013-02-21,2770.19,2771.43,2738.85,2751.70,000,2751.70
2013-02-20,2825.39,2826.83,2778.52,2778.98,000,2778.98
2013-02-19,2810.65,2822.69,2805.65,2822.69,000,2822.69
2013-02-15,2807.92,2815.34,2796.12,2804.17,000,2804.17
2013-02-14,2795.32,2811.55,2793.21,2805.90,000,2805.90
2013-02-13,2811.43,2818.64,2800.59,2809.55,000,2809.55
2013-02-12,2786.45,2795.92,2785.21,2791.74,000,2791.74
2013-02-11,2792.05,2792.76,2776.43,2784.69,000,2784.69
2013-02-08,2779.56,2794.15,2779.29,2793.30,000,2793.30
2013-02-07,2770.57,2777.45,2743.92,2770.00,000,2770.00
2013-02-06,2767.38,2780.21,2766.79,2776.17,000,2776.17
2013-02-05,2759.00,2786.42,2753.81,2780.43,000,2780.43
2013-02-04,2763.47,2769.50,2743.51,2745.05,000,2745.05
2013-02-01,2768.84,2782.98,2764.64,2780.68,000,2780.68
2013-01-31,2748.01,2761.83,2745.70,2751.31,000,2751.31
2013-01-30,2778.16,2778.24,2751.26,2756.47,000,2756.47
2013-01-29,2766.28,2767.21,2751.60,2764.61,000,2764.61
2013-01-28,2786.19,2786.21,2766.13,2772.39,000,2772.39
2013-01-25,2764.04,2783.58,2761.17,2783.43,000,2783.43
2013-01-24,2741.00,2765.62,2740.68,2750.30,000,2750.30
2013-01-23,2735.98,2736.03,2724.94,2729.80,000,2729.80
2013-01-22,2730.16,2734.78,2719.36,2734.78,000,2734.78
2013-01-18,2725.66,2731.85,2716.87,2731.85,000,2731.85
2013-01-17,2713.89,2728.30,2711.67,2723.72,000,2723.72
2013-01-16,2699.05,2704.24,2694.58,2699.90,000,2699.90
2013-01-15,2687.74,2707.33,2687.00,2706.01,000,2706.01
2013-01-14,2695.17,2704.46,2689.15,2700.87,000,2700.87
2013-01-11,2690.71,2695.27,2684.88,2695.13,000,2695.13
2013-01-10,2696.94,2698.45,2675.56,2688.45,000,2688.45
2013-01-09,2679.85,2691.98,2677.24,2683.45,000,2683.45
2013-01-08,2675.82,2679.83,2659.11,2671.84,000,2671.84
2013-01-07,2674.10,2683.55,2667.71,2680.38,000,2680.38
2013-01-04,2674.70,2685.20,2670.38,2682.05,000,2682.05
2013-01-03,2671.48,2686.04,2665.46,2672.31,000,2672.31
2013-01-02,2652.42,2670.29,2647.88,2669.75,000,2669.75
2012-12-31,2535.38,2595.76,2533.63,2595.44,000,2595.44
2012-12-28,2544.64,2561.76,2542.09,2542.61,000,2542.61
2012-12-27,2562.82,2568.50,2532.40,2562.23,000,2562.23
2012-12-26,2592.15,2592.15,2560.93,2562.73,000,2562.73
2012-12-24,2589.49,2595.63,2588.32,2591.89,000,2591.89
2012-12-21,2583.37,2597.89,2579.14,2594.55,000,2594.55
2012-12-20,2618.42,2627.42,2608.39,2625.74,000,2625.74
2012-12-19,2629.37,2629.37,2616.06,2616.06,000,2616.06
2012-12-18,2599.52,2631.31,2596.86,2626.33,000,2626.33
2012-12-17,2564.47,2593.89,2562.96,2593.33,000,2593.33
2012-12-14,2562.23,2568.10,2552.52,2558.97,000,2558.97
2012-12-13,2579.57,2592.35,2558.95,2565.08,000,2565.08
2012-12-12,2589.28,2597.84,2578.79,2581.14,000,2581.14
2012-12-11,2573.13,2588.12,2571.93,2581.82,000,2581.82
2012-12-10,2566.85,2571.27,2555.20,2560.44,000,2560.44
2012-12-07,2573.09,2577.04,2556.47,2566.81,000,2566.81
2012-12-06,2553.53,2569.33,2550.80,2564.73,000,2564.73
2012-12-05,2560.25,2564.37,2537.22,2553.80,000,2553.80
2012-12-04,2555.39,2558.00,2540.90,2554.12,000,2554.12
2012-12-03,2578.06,2578.74,2553.83,2555.90,000,2555.90
2012-11-30,2560.65,2570.06,2555.30,2566.39,000,2566.39
2012-11-29,2552.09,2561.66,2544.65,2559.45,000,2559.45
2012-11-28,2501.09,2542.33,2494.47,2542.14,000,2542.14
2012-11-27,2509.87,2522.34,2506.71,2508.36,000,2508.36
2012-11-26,2506.06,2512.26,2496.91,2512.18,000,2512.18
2012-11-23,2497.96,2512.37,2493.89,2512.37,000,2512.37
2012-11-21,2478.10,2487.54,2472.57,2485.49,000,2485.49
2012-11-20,2464.69,2480.74,2457.80,2476.32,000,2476.32
2012-11-19,2450.91,2467.03,2447.97,2467.03,000,2467.03
2012-11-16,2410.30,2427.67,2395.39,2424.43,000,2424.43
2012-11-15,2409.01,2417.94,2395.01,2405.47,000,2405.47
2012-11-14,2462.50,2463.75,2406.95,2410.51,000,2410.51
2012-11-13,2449.73,2476.37,2447.60,2456.98,000,2456.98
2012-11-12,2468.14,2472.29,2458.09,2462.08,000,2462.08
2012-11-09,2458.94,2486.88,2456.98,2465.81,000,2465.81
2012-11-08,2499.77,2513.48,2469.75,2469.75,000,2469.75
2012-11-07,2522.60,2526.72,2488.01,2504.55,000,2504.55
2012-11-06,2534.78,2555.71,2534.00,2550.52,000,2550.52
2012-11-05,2518.67,2535.69,2512.77,2533.57,000,2533.57
2012-11-02,2564.33,2565.69,2525.51,2525.65,000,2525.65
2012-11-01,2519.57,2544.09,2515.15,2542.24,000,2542.24
2012-10-31,2515.77,2520.44,2498.36,2514.80,000,2514.80
2012-10-26,2502.17,2516.77,2486.31,2512.89,000,2512.89
2012-10-25,2510.53,2514.12,2487.99,2497.39,000,2497.39
2012-10-24,2512.73,2512.73,2487.18,2490.22,000,2490.22
2012-10-23,2496.64,2509.35,2481.94,2502.63,000,2502.63
2012-10-22,2526.11,2536.73,2510.37,2523.35,000,2523.35
2012-10-19,2569.21,2569.95,2519.32,2530.14,000,2530.14
2012-10-18,2576.98,2591.32,2567.81,2576.51,000,2576.51
2012-10-17,2565.03,2583.73,2563.50,2578.51,000,2578.51
2012-10-16,2552.10,2567.95,2548.06,2564.59,000,2564.59
2012-10-15,2531.05,2542.62,2517.81,2540.93,000,2540.93
2012-10-12,2529.89,2539.12,2522.01,2526.42,000,2526.42
2012-10-11,2548.28,2549.08,2525.03,2530.65,000,2530.65
2012-10-10,2543.72,2547.69,2523.27,2526.78,000,2526.78
2012-10-09,2581.40,2581.40,2539.96,2540.73,000,2540.73
2012-10-08,2585.47,2589.33,2576.45,2584.03,000,2584.03
2012-10-05,2607.58,2619.22,2587.80,2593.20,000,2593.20
2012-10-04,2581.49,2596.75,2579.35,2596.22,000,2596.22
2012-10-03,2568.34,2579.53,2553.85,2568.50,000,2568.50
2012-10-02,2570.33,2572.68,2549.45,2560.28,000,2560.28
2012-10-01,2563.58,2580.74,2548.69,2556.96,000,2556.96
2012-09-28,2555.05,2563.45,2543.11,2554.42,000,2554.42
2012-09-27,2543.16,2568.54,2540.06,2564.79,000,2564.79
2012-09-26,2552.35,2556.12,2525.21,2531.50,000,2531.50
2012-09-25,2591.57,2598.35,2551.52,2551.52,000,2551.52
2012-09-24,2582.10,2592.36,2577.06,2585.54,000,2585.54
2012-09-21,2609.37,2610.12,2592.65,2594.22,000,2594.22
2012-09-20,2580.86,2595.32,2573.90,2594.75,000,2594.75
2012-09-19,2582.81,2600.40,2578.15,2595.94,000,2595.94
2012-09-18,2584.46,2585.22,2574.09,2579.42,000,2579.42
2012-09-17,2601.66,2601.66,2583.80,2590.42,000,2590.42
2012-09-14,2589.65,2617.18,2588.61,2606.26,000,2606.26
2012-09-13,2544.88,2590.61,2544.22,2583.74,000,2583.74
2012-09-12,2552.84,2557.70,2540.75,2548.70,000,2548.70
2012-09-11,2546.37,2553.56,2542.53,2546.49,000,2546.49
2012-09-10,2556.18,2561.40,2546.52,2546.91,000,2546.91
2012-09-07,2552.16,2560.36,2549.92,2559.25,000,2559.25
2012-09-06,2511.80,2548.52,2511.56,2547.98,000,2547.98
2012-09-05,2493.65,2504.64,2487.13,2493.69,000,2493.69
2012-09-04,2491.23,2503.27,2472.66,2496.69,000,2496.69
2012-08-31,2497.92,2503.64,2477.06,2493.38,000,2493.38
2012-08-30,2491.32,2496.32,2478.70,2481.84,000,2481.84
2012-08-29,2497.24,2505.36,2490.23,2501.32,000,2501.32
2012-08-28,2487.72,2499.01,2483.94,2494.74,000,2494.74
2012-08-27,2500.23,2501.00,2486.21,2489.87,000,2489.87
2012-08-24,2471.92,2499.17,2471.92,2494.81,000,2494.81
2012-08-23,2488.03,2488.72,2470.91,2477.89,000,2477.89
2012-08-22,2483.52,2495.85,2478.68,2489.80,000,2489.80
2012-08-21,2491.17,2506.74,2479.25,2484.91,000,2484.91
2012-08-20,2490.50,2491.22,2473.89,2482.41,000,2482.41
2012-08-17,2485.73,2493.50,2480.33,2493.11,000,2493.11
2012-08-16,2460.93,2487.97,2457.85,2483.50,000,2483.50
2012-08-15,2442.85,2460.61,2441.69,2460.37,000,2460.37
2012-08-14,2461.72,2463.78,2441.44,2446.51,000,2446.51
